"","species","logFC","p_value","logP"
"2364","Enterococcus wangshanyuanii",0.128796705978467,0.950299523319502,0.0221394885820479
"2365","Enterococcus cecorum",0.231155949826799,0.771564438018576,0.112627797524024
"2366","Enterococcus rotai",-0.767046755636786,0.696864266513676,0.156851804462463
"2367","Enterococcus durans",2.46159416681139,0.808008852547047,0.0925838810678984
"2368","Enterococcus mundtii",0.0825748703943028,0.942091875445126,0.0259067415243748
"2369","Enterococcus gilvus",-1.18253886024045,0.0158077928517987,1.80112876379328
"2370","Enterococcus lactis",1.05013312202083,0.761554575705543,0.118298968127727
"2371","Tetragenococcus halophilus",-0.44362662562785,0.816623369614863,0.0879781958683795
"2372","Vagococcus fluvialis",-0.0523590920791988,0.970076945218592,0.0131938167043563
"2373","Vagococcus lutrae",-0.239019187418793,0.874151252073197,0.0584134160411887
"2374","Vagococcus carniphilus",-0.0237009982001608,0.994356708445946,0.002457791941141
"2375","Melissococcus plutonius",0.494972652299906,0.761554575705543,0.118298968127727
"2376","Aerococcus urinae",-0.0394316279928965,0.970076945218592,0.0131938167043563
"2377","Aerococcus viridans",1.50250855205161,0.748128634005349,0.126023722676064
"2378","Aerococcus urinaeequi",1.09309335911071,0.823709659464408,0.0842258411093191
"2379","Aerococcus sanguinicola",-0.328832906305559,0.847536953639533,0.0718413569456972
"2380","Abiotrophia defectiva",0.365831578347819,0.887720709502285,0.0517236484111831
"2381","Aminipila butyrica",-0.00265398046568025,0.997532032501331,0.00107314946055707
"2382","Aminipila terrae",-0.084470130935803,0.839538893041206,0.0759591796427622
"2383","Aminipila luticellarii",-0.301715817388134,0.605695498642793,0.217745653878155
"2384","Mogibacterium diversum",-0.158434505815621,0.826214535707573,0.0829071686888224
"2385","Mogibacterium pumilum",0.00663774780349943,0.99471103647712,0.00230306346520759
"2386","Emergencia timonensis",-0.426304344054991,0.721812507303399,0.141575596915208
"2387","Fenollaria massiliensis",0.00829572661966856,0.99812638478384,0.000814463984128941
"2388","Fenollaria sporofastidiosus",0.038364450344008,0.986770079623502,0.00578402745491052
"2389","Thermaerobacter sp. PB12/4term",0.375699932682702,0.716316280797718,0.144895177865172
"2390","Thermaerobacter sp. FW80",-0.614026873179525,0.11002920358269,0.958492030555126
"2391","Thermaerobacter marianensis",0.180233603700584,0.866182843236123,0.0623904227323269
"2392","Intestinimonas butyriciproducens",0.0414986953810824,0.969369365227476,0.0135107093119282
"2393","Massilistercora timonensis",-0.0977129861356514,0.882882183604896,0.0540972470726193
